comedians,bios
adam cayton holland,"[['national', '“', 'Spanish', 'own', '’', 'available', 'first', 'available', 'decent'], [], [], ['Join', 'Denver', 'Newest', 'Dad', 'Father', 'Day', 'Comedy', 'Works', 'Downtown', 'Adam', 'Cayton-Holland', 'Esquire', 'Magazine', 'Variety', 'Grawlix', 'Adam', 'Adam', 'Loren', 'Payton', 'Conan', 'Comedy', 'Central', 'Presents', 'Meltdown', 'Jonah', 'Kumail', 'Happy', 'Endings', 'Deadbeat', 'Flophouse', 'Hidden', 'America', '@', 'Nerdist', 'Comedy', 'Bang', 'Bang', 'Sklarbro', 'County', 'Cayton-Holland', 'Montreal', 'Just', 'Laughs', 'SXSW', 'Bridgetown', 'Comedy', 'Denver', 'High', 'Plains', 'Comedy', 'Festival', 'Kennedy', 'Center', 'Carnegie', 'Hall', 'Adam', 'Know', 'Backyards', 'Adam', 'Cayton-Holland', 'Performs', 'Bits', 'Tragedy', 'Plus', 'Time', 'Touchstone', 'Books', 'Colorado', '“'], ['Comics', 'Comics', 'Rockies'], ['also', 'also', 'recently', 'everywhere', 'once'], [], []]"
adam ray,"[['busy', 'stand-up', 'American', 'big', 'buddy', 'cast', 'past', 'comedian', '’', 'regular', 'popular', 'Last', 'hilarious'], [], ['most'], ['Adam', 'Ray', 'Arrested', 'Development', 'HBO', '’', 'Curb', 'Your', 'Enthusiasm', 'Netflix', 'Game', 'Over', 'Man', 'HBO', '’', 'Ballers', 'Vandal', 'Netflix', 'Adam', 'Sandra', 'Bullock', 'Melissa', 'McCarthy', 'Paul', 'Feig', 'Heat', 'Paul', 'Feig', '’', 'Spy', 'Jennifer', 'Lopez', 'Second', 'Act', 'Ghostbusters', 'Adam', 'MADtv', 'CW', 'Joey', 'McIntyre', '’', 'Pop', 'Network', 'Return', 'Mac', 'Adam', 'CONAN', 'Trolls', 'Rick', 'Morty', 'Supermansion', 'Dreamworks', 'She-Ra', 'Netflix', 'Adam', 'Separation', 'Anxiety', 'TBS', 'Iliza', 'Shlesinger', 'Broke', 'Girls', 'Workaholics', 'Silicon', 'Valley', '@', 'MTV', '’', 'Punk', '’', 'Adam', 'Devine', '’', 's', 'House', 'Party', 'Mystery', 'Science', 'Theater', 'Ray', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Adam', 'Devine', '’', 's', 'House', 'Party', 'Comedy', 'Central', 'Adam', 'Adam', 'Carolla', 'Podcast', 'Night', 'YouTube', 'Funny', 'Or', 'Die'], [], ['very', 'recently', 'opposite', 'also', 'as', 'well', 'recently'], [], ['most']]"
adrian mesa,"[['Cuban-American', 'inspired', 'adept', 'traditional', 'own', 'original', 'various', 'Stand-up', 'electric', 'alternative', 'great', 'scene-where', 'original', 'fresh', 'hand-crafted', 'animated', 'short', 'official'], [], [], ['South', 'Florida', 'Latino', 'Laugh', 'Festival', 'Winner', 'Las', 'Vegas', 'Comedy', 'Festival', 'CBS', 'Urban', 'Latino', 'Telemundo', 'MUN2', 'Roof', 'New', 'York', 'City-', 'Caroline', 'Comedy', 'Club', 'Gotham', 'New', 'York', 'Adrian', 'Village', 'Denver', 'Comedy', 'Central', 'South', 'Beach', 'Comedy', 'Festival', 'Montreal', 'Just', 'Laugh', 'Comedy', 'Festival', 'New', 'Faces', 'Xemoland', 'Sundance', 'Film', 'Festival'], [], ['equally', 'very', 'frequently', 'Aside', 'also', 'quite', 'also', 'as', 'freely'], [], []]"
aisha tyler,"[['comedian', 'hot-streak', 'first', 'African-American', 'Emmy-winning', 'sexy', 'animated', 'new', 'new', 'such', 'prime', 'several', 'second', 'Self-Inflicted', 'popular', 'available', 'many', 'nationwide', 'second', 'one-hour'], ['more'], ['best'], ['Aisha', 'Tyler', 'E', 'Soup', 'Aisha', 'Lana', 'Kane', 'FX', '’', 'Archer', 'Whose', 'Line', 'Anyway', 'July', 'CW', 'Girl', 'Guy', 'Aisha', 'Tyler', '“', 'CSI', 'Crime', 'Scene', 'Investigation', 'Ghost', 'Whisperer', 'Nip/Tuck', 'Aisha', 'Adam', 'Sandler', '’', 'Bedtime', 'Stories', 'Death', 'Sentence', 'Balls', 'Fury', 'Christopher', 'Walken', 'Santa', 'Clause', 'Tim', 'Allen', 'Babymakers', 'Aisha', '’', 'Wounds', 'Aisha', '’', 'Tonight', 'Show', 'Late', 'Night', 'David', 'Letterman', 'Late', 'Show', 'Jimmy', 'Fallon', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Today', 'Show', 'Chelsea', 'Lately', 'Jimmy', 'Kimmel', 'Live', 'CNN', 'Aisha'], [], ['quickly', 'currently', 'also', 'just', 'wildly', 'just', 'now'], [], []]"
aj finney,"[['manic', 'brilliant', 'eclectic', 'psychedelic', 'eco-friendly', 'improvisational', 'philosophical', 'patchouli-soaked', 'organic', 'poetic', 'consciousness', 'colorful', 'unforgettable', 'comedic', 'much', 'such', '“', 'Last', 'effective'], [], [], ['AJ', 'Finney', 'Midwesterner', 'Sixties', 'Comedy', 'Volkswagens', '’', 'AJ', '’', 'Deadheads', 'AJ', 'TJ', 'Miller', 'Meticulously', 'Ridiculous', 'AJ', 'Best', 'Midwest', 'Gilda', '’', 'LaughFest', 'Grand', 'Rapids', 'FOX', 'Laughs', 'Season', 'NBC', '’', 'Comic', 'Standing', 'Comedy', 'Central', 'Up', 'Next', 'San', 'Francisco', 'International', 'Comedy', 'Competition', 'Best', 'Fest', 'Detroit', 'LaughFest', 'HBO', '’', 'Lucky', 'AJ'], [], ['Stylistically', 'artistically', 'sometimes', 'also', '“', 'quickly', 'then', 'later', 'laugh', 'again'], [], []]"
al goodwin,"[['aka', 'own', 'own', 'vast', 'clean', 'late-night', 'R-rated', 'hilarious', 'first', 'several', 'corporate', 'military', 'national', '“', '”'], ['lighter'], ['funniest'], ['Allan', 'Goodwin', 'Allan', 'Goodwin', '“', 'Badgerine', '”', 'Allan', '–', 'Badgerine', 'ADD', 'World', 'Series', 'Comedy', 'Billy', 'Bush', 'Show', 'PBS', 'Allan', 'U.S.', 'Laughs', 'Fox', 'Al', 'Television', 'Internet', 'Video', 'Association', 'TIVA', 'Awards', 'Gala', 'National', 'Press', 'Club', 'Washington', 'DC', 'East', 'Coast', 'HBO', 'Lucky', 'Contest', 'Las', 'Vegas', 'Comedy', 'Competition', 'Allan', 'Goodwin', 'Badgerine', '”'], [], ['well', 'anywhere', 'anytime', 'really', 'Regularly', 'also', ""n't""], [], []]"
al jackson,"[['great', 'daily', 'national', 'second', '100th', 'first', 'special', 'half', 'special'], [], [], ['Al', 'Jackson', 'Daily', 'Blast', 'Live', 'Al', 'HBO', '’', 'Dope', 'Queens', 'Al', 'BBC', 'Amazing', 'Al', 'Al', 'Jim', 'Jeffries', 'Legit', 'FX', 'Baby', 'Steps', 'NuVo', 'Comedy', 'Central', 'Comedy', 'Central', '’', 'Happening', 'Ari', 'Shaffir', 'Renamed', 'Story', 'Telling', 'Show', 'Al', 'Comedy', 'Central', '’', '@', 'John', 'Oliver', '’', 'New', 'York', 'Stand', 'Up', 'Special', 'Dave', 'Attell', '’', 'Comedy', 'Underground', 'Please'], [], ['already', 'Officially', 'also', 'Not'], [], []]"
alex edelman,"[['prestigious', 'regular'], [], ['most'], ['Alex', 'Great', 'CBS', 'Alex', 'Seeso', '’', 'Guest', 'Foster', '’', 'Best', 'Newcomer', 'Edinburgh', 'Fringe', 'Festival', 'Millennial', 'New', 'Face', 'Just', 'Laughs', 'Festival', 'Montreal', 'Comedy', 'Central', 'NY', 'Magazine', '’', 'Jerusalem', 'Off', 'Wall', 'Comedy', 'Club', 'UK'], ['Indoors', 'Comedians'], ['currently', 'nationally', 'internationally'], [], []]"
alex moffat,"[['York-based', 'stand-up', 'current', 'spokesperson', 'official'], [], [], ['Alex', 'Moffat', 'New', 'NBC', '’', 'Saturday', 'Night', 'Live', 'Moffat', 'NBC', 'Showtime', 'Billions', 'A', 'Jekyll', 'Island', 'Minnie', 'Driver', 'Uncle', 'John', 'John', 'Ashton', 'Alex', 'Natural', 'Light', 'Beer', '’', 'Mickey', 'Mantle', 'Chicago', 'Bulls'], [], ['recently', 'first'], [], []]"
ali wong,"[['important', 'own', 'valid', 'full', 'able', 'entire', 'present', 'entire', 'present', 'entire', 'LATE', 'Scalped', 'strict', 'locked', 'pouch', 'subject', 'stand-up', 'first', 'special', 'pregnant', 'special', 'star-making', '“', 'comic', 'special', 'about.', 'special', 'honest', 'special', 've', 'years.', 's', 'second', 'stand-up', 'special', 'co-wrote'], [], ['unlikeliest', 'rawest', 'funniest'], ['PLEASE', 'NOTE', 'Do', 'NOT', 'ID', 'MUST', 'THIS', 'GIFT', 'AT', 'THE', 'TIME', 'MUST', 'NOT', 'BUY', 'TICKETS', 'FOR', 'YOUR', 'FRIENDS', 'THAT', 'BE', 'AND', 'MAKE', 'YOU', 'LATE', 'NO', 'CELL', 'PHONES', 'ALLOWED', 'Please', 'EXCEPTIONS', 'Thank', 'Cooperation', 'Ali', 'Wong', 'San', 'Francisco', 'Los', 'Angeles', 'Netflix', 'BABY', 'COBRA', 'New', 'York', 'Magazine', '’', 'Netflix', 'Elle', '”', 'Vogue', 'Nussbaum', '“', 'Wong', 'Marc', 'Maron', 'WTF', '“', 'September', 'Wong', 'New', 'York', 'Fashion', 'Week', 'Opening', 'Ceremony', 'Kate', 'Spade', '“', 'Miss', 'Adventure', '”', 'Ali', '’', 'HARD', 'KNOCK', 'WIFE', 'Netflix', 'Mother', '’', 'Day', 'ALWAYS', 'BE', 'MY', 'MAYBE', 'Randall', 'Park', 'Netflix'], [], ['only', 'else', 'NOT', 'names', 'once', 'Once', 'back', 'straight', 'down', 'directly', 'highly', 'not', 'immediately', 'now', 'Emily', 'refreshingly', 'also'], [], ['most']]"
